Iteration,Time_Hours,Max_Inner_Temp_C
1,0.0167,31.1344
1,0.0333,40.4295
1,0.0583,53.6013
1,0.0958,66.6916
1,0.1521,77.3233
1,0.2365,85.7501
1,0.363,93.6237
1,0.5297,101.474
1,0.6964,108.05
1,0.863,113.701
2,0.0167,25.298
2,0.0333,25.6171
2,0.0583,26.0957
2,0.0958,26.8095
2,0.1521,27.871
2,0.2365,29.4428
2,0.363,31.7552
2,0.5297,34.7239
2,0.6964,37.6181
2,0.863,40.4396
2,1.0,42.7104
3,0.0167,25.2747
3,0.0333,25.5682
3,0.0583,26.0085
3,0.0958,26.6654
3,0.1521,27.6429
3,0.2365,29.0919
3,0.363,31.227
3,0.5297,33.9737
3,0.6964,36.6568
3,0.863,39.2779
3,1.0,41.3909
4,0.0167,25.2496
4,0.0333,25.5115
4,0.0583,25.9038
4,0.0958,26.4894
4,0.1521,27.3617
4,0.2365,28.6563
4,0.363,30.5676
4,0.5297,33.0325
4,0.6964,35.4466
4,0.863,37.8109
4,1.0,39.721
