od_mm,wall_mm,aerogel_mm,peek_mm,power_W,duration_h,inner_temperature_C,classification
60.0,5.25,2.25,2.0,0.0,1,149.95615884659162,redesign
60.0,5.25,2.25,2.0,1.0,1,153.4087423492498,redesign
60.0,5.25,2.25,2.0,2.0,1,156.86132585190794,redesign
65.0,5.5,4.5,2.0,0.0,1,148.1140040883849,redesign
65.0,5.5,4.5,2.0,1.0,1,154.4223937285135,redesign
65.0,5.5,4.5,2.0,2.0,1,160.7307833686421,redesign
70.0,6.0,6.5,2.0,0.0,1,143.48057735537895,redesign
70.0,6.0,6.5,2.0,1.0,1,151.86858767023529,redesign
70.0,6.0,6.5,2.0,2.0,1,160.25659798509164,redesign
75.0,6.5,8.5,2.0,0.0,1,137.1175307273802,redesign
75.0,6.5,8.5,2.0,1.0,1,147.1369699173827,redesign
75.0,6.5,8.5,2.0,2.0,1,157.15640910738514,redesign
80.0,6.75,10.75,2.0,0.0,1,129.21670485397664,redesign
80.0,6.75,10.75,2.0,1.0,1,140.62417788607223,redesign
80.0,6.75,10.75,2.0,2.0,1,152.03165091816786,redesign
