od_mm,od_in,wall_mm,id_mm,margin_above_min_id_mm,electronics_required_diameter_mm,packaging_diametral_margin_mm,board_assembly_clearance_per_side_mm,carrier_manufacturing_allowance,id_floor_status,electronics_packaging_status,strength_ratio_10mpa,buckling_fos_10mpa,strength_ratio_20mpa,buckling_fos_20mpa,strength_ratio_historical_10kpsi,buckling_fos_historical_10kpsi,structural_10mpa_screening_status,structural_screening_status,structural_authority_status,overall_preliminary_recommendation
44.45,1.75,3.5,37.45,7.45,34.93,2.52,1.0,UNRESOLVED,PASS,PASS,16.75,11.33,8.38,5.67,2.43,1.64,PASS @ 10 MPa SCREENING,PASS @ 10 MPa SCREENING,CONDITIONAL — DESIGN PRESSURE UNRESOLVED,RECOMMENDED PRELIMINARY CONFIGURATION
44.45,1.75,4.0,36.45,6.45,34.93,1.52,1.0,UNRESOLVED,PASS,PASS,18.91,16.92,9.46,8.46,2.74,2.45,PASS @ 10 MPa SCREENING,PASS @ 10 MPa SCREENING,CONDITIONAL — DESIGN PRESSURE UNRESOLVED,VIABLE SCREENING ALTERNATIVE
47.625,1.875,3.5,40.62,10.62,34.93,5.7,1.0,UNRESOLVED,PASS,PASS,15.72,9.21,7.86,4.61,2.28,1.34,PASS @ 10 MPa SCREENING,PASS @ 10 MPa SCREENING,CONDITIONAL — DESIGN PRESSURE UNRESOLVED,VIABLE SCREENING ALTERNATIVE
47.625,1.875,4.0,39.62,9.62,34.93,4.7,1.0,UNRESOLVED,PASS,PASS,17.77,13.75,8.88,6.88,2.58,1.99,PASS @ 10 MPa SCREENING,PASS @ 10 MPa SCREENING,CONDITIONAL — DESIGN PRESSURE UNRESOLVED,VIABLE SCREENING ALTERNATIVE
50.8,2.0,3.5,43.8,13.8,34.93,8.87,1.0,UNRESOLVED,PASS,PASS,14.81,7.59,7.41,3.8,2.15,1.1,PASS @ 10 MPa SCREENING,PASS @ 10 MPa SCREENING,CONDITIONAL — DESIGN PRESSURE UNRESOLVED,VIABLE SCREENING ALTERNATIVE
50.8,2.0,4.0,42.8,12.8,34.93,7.87,1.0,UNRESOLVED,PASS,PASS,16.75,11.33,8.38,5.67,2.43,1.64,PASS @ 10 MPa SCREENING,PASS @ 10 MPa SCREENING,CONDITIONAL — DESIGN PRESSURE UNRESOLVED,VIABLE SCREENING ALTERNATIVE
53.975,2.125,3.5,46.98,16.98,34.93,12.05,1.0,UNRESOLVED,PASS,PASS,14.0,6.33,7.0,3.16,2.03,0.92,PASS @ 10 MPa SCREENING,PASS @ 10 MPa SCREENING,CONDITIONAL — DESIGN PRESSURE UNRESOLVED,VIABLE SCREENING ALTERNATIVE
53.975,2.125,4.0,45.98,15.98,34.93,11.05,1.0,UNRESOLVED,PASS,PASS,15.85,9.45,7.92,4.72,2.3,1.37,PASS @ 10 MPa SCREENING,PASS @ 10 MPa SCREENING,CONDITIONAL — DESIGN PRESSURE UNRESOLVED,VIABLE SCREENING ALTERNATIVE
57.15,2.25,3.5,50.15,20.15,34.93,15.22,1.0,UNRESOLVED,PASS,PASS,13.28,5.33,6.64,2.67,1.93,0.77,PASS @ 10 MPa SCREENING,PASS @ 10 MPa SCREENING,CONDITIONAL — DESIGN PRESSURE UNRESOLVED,VIABLE SCREENING ALTERNATIVE
57.15,2.25,4.0,49.15,19.15,34.93,14.22,1.0,UNRESOLVED,PASS,PASS,15.03,7.96,7.52,3.98,2.18,1.15,PASS @ 10 MPa SCREENING,PASS @ 10 MPa SCREENING,CONDITIONAL — DESIGN PRESSURE UNRESOLVED,VIABLE SCREENING ALTERNATIVE
